fraud_probability,is_anomaly,is_fraud
-0.5343469424135475,-0.3312323022986012,0
-0.5344214599734399,-0.3312323022986012,0
-0.5340708493975241,-0.3312323022986012,0
-0.5341528759065739,-0.3312323022986012,0
1.8799083931310732,-0.3312323022986012,1
-0.5337711765532984,-0.3312323022986012,0
1.8792863512590077,-0.3312323022986012,1
-0.5342404636387663,-0.3312323022986012,0
-0.5343594199266245,-0.3312323022986012,0
-0.5343928517073118,-0.3312323022986012,0
-0.5343034305198258,-0.3312323022986012,0
-0.5337733815941113,-0.3312323022986012,0
1.8775171995454776,-0.3312323022986012,1
-0.5339142636501337,-0.3312323022986012,0
-0.5339855381400656,-0.3312323022986012,0
1.8789690853796752,-0.3312323022986012,1
-0.5344065584720156,-0.3312323022986012,0
-0.5343223909440726,-0.3312323022986012,0
1.8798709512365042,-0.3312323022986012,1
-0.5335592703848683,-0.3312323022986012,0
-0.5342362055996688,-0.3312323022986012,0
-0.5344073169388805,-0.3312323022986012,0
-0.534139952171898,-0.3312323022986012,0
1.8777102204905534,3.0190292222722723,1
-0.5344492830669211,-0.3312323022986012,0
-0.5323926879357594,-0.3312323022986012,0
-0.5343855213077745,-0.3312323022986012,0
-0.5334577497950618,-0.3312323022986012,0
-0.5343726831008078,-0.3312323022986012,0
-0.5343501046119168,-0.3312323022986012,0
-0.5338491951769176,-0.3312323022986012,0
-0.5342565248227038,-0.3312323022986012,0
1.8799083243955037,3.0190292222722723,1
1.879903486861741,-0.3312323022986012,1
-0.5335514598621119,-0.3312323022986012,0
-0.5344346873008586,-0.3312323022986012,0
-0.5338058954133725,-0.3312323022986012,0
1.8799082244690337,3.0190292222722723,1
1.8799001539442144,3.0190292222722723,1
-0.532398356080867,-0.3312323022986012,0
1.8798294860330347,-0.3312323022986012,1
-0.5343392074603334,-0.3312323022986012,0
-0.5342561859685161,-0.3312323022986012,0
-0.5325332434809564,-0.3312323022986012,0
-0.5338462701470463,-0.3312323022986012,0
-0.5340652938243032,-0.3312323022986012,0
-0.5334413868679743,-0.3312323022986012,0
-0.533546361616806,-0.3312323022986012,0
-0.5344596246628697,-0.3312323022986012,0
-0.5137105878254026,-0.3312323022986012,0
-0.532322184352208,-0.3312323022986012,0
-0.5342465925645509,-0.3312323022986012,0
-0.5279767851759897,-0.3312323022986012,0
1.8796203196678822,-0.3312323022986012,1
-0.532524110069507,-0.3312323022986012,0
-0.5338729443009129,-0.3312323022986012,0
-0.534411430041564,-0.3312323022986012,0
-0.5341685121833457,-0.3312323022986012,0
-0.5342295684496567,-0.3312323022986012,0
1.8798996745000114,3.0190292222722723,1
-0.5341228731833649,-0.3312323022986012,0
-0.522762790814139,-0.3312323022986012,0
-0.5318017227848915,3.0190292222722723,0
-0.534156594911305,-0.3312323022986012,0
-0.5344162104980097,-0.3312323022986012,0
-0.5338340985812244,-0.3312323022986012,0
-0.5343126249447409,-0.3312323022986012,0
-0.534263348778825,-0.3312323022986012,0
1.8794107515466278,3.0190292222722723,1
-0.5344302526219321,-0.3312323022986012,0
-0.5340000385554895,-0.3312323022986012,0
-0.5332980214142582,-0.3312323022986012,0
-0.5342588075604776,-0.3312323022986012,0
-0.5344234830318587,-0.3312323022986012,0
1.879903537357396,3.0190292222722723,1
-0.5338716463098564,-0.3312323022986012,0
1.8799065584903922,-0.3312323022986012,1
-0.5341946669389999,-0.3312323022986012,0
-0.5342244601470411,-0.3312323022986012,0
1.8798661320903547,-0.3312323022986012,1
-0.5339373572119007,-0.3312323022986012,0
-0.5342176417908142,-0.3312323022986012,0
-0.5338632006271594,-0.3312323022986012,0
1.8798928751725896,3.0190292222722723,1
-0.5340854173528728,-0.3312323022986012,0
